"Carimbo de data/hora,""Você utiliza computador regularmente?"",""Qual seu nível de conhecimento em informática? "",""Você sabe utilizar ferramentas como Word/Excel? "",""Você tem dificuldade em usar a internet?  "",""Já utilizou tecnologia em atividades educacionais? (Atividades escolares, pesquisas, etc.) "",""Quais suas maiores dificuldades com tecnologia?""";
"2026/04/29 9:03:22 AM GMT-3,""Sim"",""Avançado"",""Sim"",""Não"",""Sim"",""Nenhuma dificuldade""";
"2026/04/29 9:03:56 AM GMT-3,""Não"",""Básico"",""Não"",""Sim"",""Não"",""Conexão ruim";"Instruções confusas"""
"2026/04/29 9:04:19 AM GMT-3,""Não"",""Básico"",""Sim"",""Sim"",""Sim"",""Disponibilidade de acesso";"Instruções confusas"""
"2026/04/29 9:04:37 AM GMT-3,""Sim"",""Intermediário"",""Sim"",""Não"",""Sim"",""Disponibilidade de acesso";"Tempo para aprender"""
"2026/04/29 9:04:57 AM GMT-3,""Não"",""Básico"",""Sim"",""Não"",""Sim"",""Disponibilidade de acesso""";
"2026/04/29 9:05:23 AM GMT-3,""Não"",""Básico"",""Não"",""Sim"",""Não"",""Instruções confusas";"Tempo para aprender"""
"2026/04/29 9:05:40 AM GMT-3,""Não"",""Básico"",""Não"",""Sim"",""Não"",""Instruções confusas";"Tempo para aprender"""
"2026/04/29 9:06:07 AM GMT-3,""Sim"",""Avançado"",""Sim"",""Sim"",""Sim"",""Conexão ruim";"Tempo para aprender"""
"2026/04/29 9:06:43 AM GMT-3,""Sim"",""Intermediário"",""Sim"",""Sim"",""Sim"",""Instruções confusas";"Tempo para aprender"""
"2026/04/29 9:07:01 AM GMT-3,""Sim"",""Intermediário"",""Sim"",""Sim"",""Não"",""Instruções confusas";"Tempo para aprender"""
"2026/04/29 9:07:20 AM GMT-3,""Sim"",""Básico"",""Sim"",""Sim"",""Não"",""Tempo para aprender""";
"2026/04/29 9:08:17 AM GMT-3,""Não"",""Intermediário"",""Sim"",""Não"",""Sim"",""Tempo para aprender""";
"2026/04/29 9:08:28 AM GMT-3,""Sim"",""Avançado"",""Sim"",""Não"",""Sim"",""Nenhuma dificuldade""";
"2026/04/29 9:08:42 AM GMT-3,""Sim"",""Avançado"",""Sim"",""Não"",""Sim"",""Nenhuma dificuldade""";
"2026/04/29 9:11:06 AM GMT-3,""Sim"",""Intermediário"",""Não"",""Sim"",""Sim"",""Conexão ruim";"Disponibilidade de acesso"""
